Industry,1. Current Ratio,Wt,Strong,Steady,Shaky,2. Quick Ratio,Wt,Strong,Steady,Shaky,3. Debt-to-Equity,Wt,Strong,Steady,Shaky,4. Asset Turnover,Wt,Strong,Steady,Shaky,5. ROE,Wt,Strong,Steady,Shaky,6. ROA,Wt,Strong,Steady,Shaky,7. Gross Margin,Wt,Strong,Steady,Shaky,8. Net Margin,Wt,Strong,Steady,Shaky,9. Interest Coverage,Wt,Strong,Steady,Shaky,10. Receivables Days,Wt,Strong,Steady,Shaky,11. Operating CF Margin,Wt,Strong,Steady,Shaky,12. CF Coverage,Wt,Strong,Steady,Shaky,13. CF to Debt,Wt,Strong,Steady,Shaky,14. Capex Coverage,Wt,Strong,Steady,Shaky,15. Payable Days,Wt,Strong,Steady,Shaky,16. Working Capital Days,Wt,Strong,Steady,Shaky,Total
Electronics Manufacturing,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>35%/25-35%/<25%,10%,10%,7%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<30/30-60/>60 days,7%,7%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>45/30-45/<30 days,5%,5%,3%,1%,<30/30-60/>60 days,7%,7%,5%,2%,100%
Textile & Garments,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,8%,8%,5%,2%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>2.0x/1.5-2.0x/<1.5x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>30%/20-30%/<20%,10%,10%,7%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<25/25-45/>45 days,7%,7%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>40/25-40/<25 days,6%,6%,4%,2%,<35/35-65/>65 days,7%,7%,5%,2%,100%
Food Processing,>1.8/1.2-1.8/<1.2,8%,8%,5%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>2.0x/1.5-2.0x/<1.5x,7%,7%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>25%/15-25%/<15%,10%,10%,7%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<20/20-35/>35 days,7%,7%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>35/25-35/<25 days,7%,7%,5%,2%,<25/25-45/>45 days,7%,7%,5%,2%,100%
Pharmaceutical Manufacturing,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>0.8x/0.5-0.8x/<0.5x,7%,7%,5%,2%,>20%/12-20%/<12%,10%,10%,7%,3%,>10%/5-10%/<5%,8%,8%,5%,2%,>60%/50-60%/<50%,12%,12%,8%,3%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<35/35-60/>60 days,6%,6%,4%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>50/35-50/<35 days,4%,4%,3%,1%,<40/40-70/>70 days,7%,7%,5%,2%,100%
Automotive Manufacturing,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>1.2x/0.8-1.2x/<0.8x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>20%/15-20%/<15%,10%,10%,7%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<40/40-70/>70 days,7%,7%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>50/35-50/<35 days,5%,5%,3%,1%,<45/45-75/>75 days,7%,7%,5%,2%,100%
Chemical Manufacturing,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>1.0x/0.7-1.0x/<0.7x,7%,7%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>35%/25-35%/<25%,10%,10%,7%,3%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<35/35-55/>55 days,6%,6%,4%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>45/30-45/<30 days,5%,5%,3%,1%,<40/40-65/>65 days,7%,7%,5%,2%,100%
Metal Fabrication,>1.8/1.2-1.8/<1.2,8%,8%,5%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,7%,7%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>25%/18-25%/<18%,10%,10%,7%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<35/35-60/>60 days,6%,6%,4%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>40/30-40/<30 days,5%,5%,3%,1%,<35/35-60/>60 days,7%,7%,5%,2%,100%
Furniture & Wood Products,>1.8/1.2-1.8/<1.2,8%,8%,5%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>1.2x/0.8-1.2x/<0.8x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>30%/22-30%/<22%,10%,10%,7%,3%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<40/40-65/>65 days,7%,7%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>35/25-35/<25 days,4%,4%,3%,1%,<45/45-70/>70 days,7%,7%,5%,2%,100%
Plastic & Rubber Products,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>1.3x/0.9-1.3x/<0.9x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>28%/20-28%/<20%,10%,10%,7%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<30/30-50/>50 days,7%,7%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>40/30-40/<30 days,5%,5%,3%,1%,<35/35-55/>55 days,7%,7%,5%,2%,100%
Others - Manufacturing,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>1.2x/0.8-1.2x/<0.8x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>25%/18-25%/<18%,10%,10%,7%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<35/35-55/>55 days,7%,7%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>40/30-40/<30 days,5%,5%,3%,1%,<40/40-65/>65 days,7%,7%,5%,2%,100%
